Question,Answer
Can two models have the same AUC but different ROC curves?,"Yes. Curves may cross, showing different TPR/FPR trade-offs at specific thresholds"
When would you use a Confusion Matrix over an ROC Curve?,"When you need exact counts of FP/FN (e.g., cost-sensitive decisions) rather than threshold analysis."
How to handle overlapping class distributions in ROC analysis?,"Choose a threshold where TPR/FPR best aligns with operational costs (e.g., fraud detection)."
Why might Lift Charts be used in marketing but not medical fields?,"Marketing prioritizes top-scoring segments (lift), while medicine needs full-range performance (ROC)."
What’s the drawback of optimizing only for F1 Score?,"Ignores True Negatives, which may matter in applications like disease screening."
Contrast ROC curves for Logistic Regression vs. Random Forest.,"Random Forest often has higher AUC due to non-linear decision boundaries, but may overfit small datasets."
Why is Precision@K used instead of ROC in recommender systems?,"Recommenders care about top-K results’ accuracy (Precision@K), not full threshold ranges (ROC)."
How does class imbalance affect Precision-Recall curves vs. ROC?,"PR curves highlight minority-class performance drop, while ROC may appear overly optimistic."
"What’s the ""no free lunch"" theorem’s implication for model evaluation?","No single metric (AUC, F1, etc.) is universally best—choice depends on problem constraints."
How does calibration relate to ROC analysis?,"Calibration ensures predicted probabilities match observed frequencies, improving threshold selection."
Why might a model with high AUC still fail in production?,"Data drift, incorrect thresholds, or misaligned cost functions can degrade real-world performance."
What’s the role of the baseline in Lift Charts?,"Represents random performance (e.g., 10% response rate). Lift shows improvement over this baseline."
How to interpret an AUC of 0.5?,No better than random guessing (diagonal ROC curve). Suggests the model learned nothing useful.
When would you use Macro-F1 vs. Micro-F1?,"Macro-F1 averages per-class F1 (for balanced importance), Micro-F1 aggregates all TP/FP/FN globally."
How do you choose between Precision and Recall for a fraud detection model?,"In fraud detection, Recall (Sensitivity) is often prioritized to minimize missed fraud cases (False Negatives), even if it increases False Positives. However, if manual review costs are high (e.g., each flagged transaction requires investigation), Precision becomes critical to reduce wasted effort. A balanced F1 Score or Precision-Recall Curve helps optimize the trade-off. For example:High-risk financial systems: Aim for Recall > 90% to catch most fraud.Low-resource teams: Set Precision thresholds to limit false alarms."
Step-by-step: How to generate an ROC curve in Python?,"Train a classifier (e.g., Logistic Regression, Random Forest).Use predict_proba() to get probability scores for the positive class.Vary the threshold from 0 to 1, computing TPR and FPR at each step.Plot TPR (y-axis) vs. FPR (x-axis) using sklearn.metrics.roc_curve.Calculate AUC with roc_auc_score. code : from sklearn.metrics import roc_curve, roc_auc_score
fpr, tpr, thresholds = roc_curve(y_true, y_scores)
auc = roc_auc_score(y_true, y_scores)
plt.plot(fpr, tpr, label=f'AUC = {auc:.2f}')"
What are the WHO guidelines for evaluating cancer screening tests using ROC curves?,"The WHO recommends:AUC ≥ 0.90 for high-stakes diagnostics (e.g., early cancer detection).Minimum Sensitivity of 95% to avoid missing cases.Specificity > 80% to limit unnecessary biopsies.Threshold selection at the ""knee"" of the ROC curve (optimal TPR/FPR trade-off).Example: A mammography test with AUC=0.92, Sensitivity=96%, Specificity=85% meets WHO standards."
How to interpret a Lift Chart for a marketing campaign with 10% baseline response rate?,"X-axis: Top percentile of customers ranked by model predictions (e.g., top 20%).Y-axis: Lift =(Response rate in segment) / (Baseline response rate).Example: If the top 10% of customers have 30% response rate, Lift = 30%/10% = 3.0.Guideline: Deploy campaigns only to segments with Lift > 2.0 to double ROI."
Why does Amazon recommend using Precision@K for product recommendations?,"Precision@K measures accuracy in the top-K recommendations (e.g., first 10 products).Business impact: Ensures high-quality suggestions drive conversions.Example: If 4 of 10 recommended products are clicked, Precision@10 = 40%.Benchmark: Aim for Precision@10 > 25% in e-commerce (varies by industry)."
Netflix’s approach to recommender system evaluation,NDCG@10 (Ranking metric) for personalized suggestions.Holdout validation with 1M+ users to measure engagement lift.Diversity metrics to avoid over-recommending popular items.
How does Tesla evaluate its autonomous driving models beyond ROC?,Tesla uses:False Positive per Mile (FPPM): Critical to avoid unnecessary braking.Recall at 99.9% Precision: Ensures near-zero missed obstacles.A/B testing with shadow mode deployments.
