"question","answer"
"How KNN solve regression problems?","In the regression problem, the class label is calculated by taking average of the target values of K nearest neighbors. The calculated average value becomes the predicted output for the target data point."
"How can we detemine if one data is close to another?","To quantify similarity between two records, there is a range of techniques available such as Distance, Weights, Correlation similarity, Simple matching coefficient, Jaccard similarity, Cosine similarity." 
"What is Euclidean Distance?","The Euclidean distance is the root of the sum of the squared differences of all attributes in the dataset."
"What is Manhattan distance?","The Manhattan distance is the sum of the difference between individual attributes." 
"What us Chebishev distance?","The Chebyshev distance is the maximum difference between all attributes in the dataset." 
"How can value of K can be determined?","There is no one proper method of finding the K value in the KNN algorithm. But you should try the following suggestions: k can be square root of total data, and should be odd. K can be cross validated with iteration eg: k=1,3,5,... Sometimes k can be decided from domain knowledge."
"What is the Square Root Method for determining of K in KNN?","Square Root Method: K should be the square root of the number of samples in the training dataset. K should be chosen as the odd so that there are no ties. If the square root is even, then add or subtract 1 to it." 
"What is the Cross-Validation Method for determining of K in KNN?","Cross-validation can be used to find out the optimal value of K in KNN. Start with the minimum value of k i.e, K=1 , and run cross-validation, measure the accuracy, and keep repeating till the results become consistent. As the value of K increases, the error usually goes down after each one-step increase in K, then stabilizes, and then raises again. Finally, pick the optimum K at the beginning of the stable zone. This technique is also known as the Elbow Method." 
"Do KNN require training?","No Training Period is required for KNN algorithm."
"How many parameters are required in KNN algorithm?","To implement the KNN algorithm, we need only two parameters i.e. the value of K and the measure of proximity."
"Is KNN the best model?", "It's simple and effective but does not work well with large datasets"
"Why KNN performs bad for large datasets?","In large datasets, the cost of calculating the distance between the new point and each existing point is huge which decreases the performance of the algorithm."
"Why KNN performs poor with high dimention data?","KNN Does not work well with high dimensions. With the increasing number of dimensions, it becomes difficult to calculate the distance for each dimension."
"Do we need to normalize data in KNN?","We need to do feature scaling (standardization and normalization) on the dataset before feeding it to the KNN algorithm otherwise it may generate wrong predictions."
"Can KNN model deal with outliers?","KNN is highly sensitive to the noise present in the dataset and requires manual imputation of the missing values along with outliers removal."
